state,county,trump,clinton
Alabama,Jefferson,134768,156873
Alabama,Mobile,95116,72186
Alabama,Madison,89520,62822
Alabama,Shelby,73020,22977
Alabama,Montgomery,34003,58916
Alabama,Baldwin,72883,18458
Alabama,Tuscaloosa,47723,31762
Alabama,Lee,34617,21230
Alabama,Morgan,37486,11254
Alabama,Calhoun,32865,13242
Alabama,Etowah,32353,10442
Alabama,Houston,30728,10664
Alabama,Limestone,29067,9468
Alabama,Lauderdale,27899,9952
Alabama,St. Clair,31651,5589
Alabama,Cullman,32989,3798
Alabama,Elmore,27634,8443
Alabama,Marshall,29233,4917
Alabama,Talladega,20614,12121
Alabama,Walker,24266,4497
Alabama,DeKalb,21405,3622
Alabama,Blount,22859,2156
Alabama,Autauga,18172,5936
Alabama,Colbert,16746,7312
Alabama,Jackson,16672,3673
Alabama,Coffee,15875,4221
Alabama,Tallapoosa,13594,5519
Alabama,Russell,9210,9579
Alabama,Dallas,5789,12836
Alabama,Dale,13808,4413
Alabama,Chilton,15081,2911
Alabama,Covington,13267,2387
Alabama,Escambia,9935,4605
Alabama,Lawrence,10833,3627
Alabama,Chambers,7843,5784
Alabama,Pike,7693,5056
Alabama,Clarke,7140,5749
Alabama,Marion,11274,1432
Alabama,Franklin,9466,2197
Alabama,Geneva,9994,1525
Alabama,Marengo,5233,5615
Alabama,Cherokee,8953,1547
Alabama,Barbour,5454,4871
Alabama,Winston,9228,872
Alabama,Monroe,5795,4332
Alabama,Randolph,7705,2291
Alabama,Pickens,5456,3972
Alabama,Macon,1431,7566
Alabama,Bibb,6738,1874
Alabama,Butler,4901,3726
Alabama,Washington,6042,2374
Alabama,Fayette,6712,1362
Alabama,Henry,5632,2292
Alabama,Hale,3173,4775
Alabama,Choctaw,4106,3109
Alabama,Lamar,5823,1036
Alabama,Lowndes,1751,4883
Alabama,Clay,5245,1237
Alabama,Cleburne,5764,684
Alabama,Conecuh,3420,3080
Alabama,Sumter,1581,4746
Alabama,Crenshaw,4513,1664
Alabama,Wilcox,1742,4339
Alabama,Perry,1407,3824
Alabama,Coosa,3381,1782
Alabama,Greene,838,4013
Alabama,Bullock,1140,3530
Alaska,At large,163387,116454
Arizona,Maricopa,747361,702907
Arizona,Pima,167428,224661
Arizona,Pinal,72819,47892
Arizona,Yavapai,71330,35590
Arizona,Mohave,58282,17455
Arizona,Coconino,21108,32404
Arizona,Yuma,25165,24605
Arizona,Cochise,28092,17450
Arizona,Navajo,20577,16459
Arizona,Apache,8240,17083
Arizona,Gila,14182,7003
Arizona,Santa Cruz,3897,11690
Arizona,Graham,8025,3301
Arizona,La Paz,4003,1575
Arizona,Greenlee,1892,1092
Arkansas,Pulaski,61257,89574
Arkansas,Benton,60871,28005
Arkansas,Washington,41476,33366
Arkansas,Saline,35863,13256
Arkansas,Faulkner,29346,14629
Arkansas,Sebastian,29127,12300
Arkansas,Garland,26087,12311
Arkansas,Craighead,22892,10538
Arkansas,White,21077,5170
Arkansas,Lonoke,19958,5664
Arkansas,Jefferson,9250,15772
Arkansas,Pope,16256,5000
Arkansas,Crawford,16686,4488
Arkansas,Baxter,14682,4169
Arkansas,Union,10456,5855
Arkansas,Boone,12235,2926
Arkansas,Miller,11294,4273
Arkansas,Crittenden,6964,8410
Arkansas,Greene,10720,3071
Arkansas,Independence,9936,2881
Arkansas,Mississippi,7061,5670
Arkansas,Cleburne,9458,2101
Arkansas,Hot Spring,8172,3149
Arkansas,Carroll,6786,3342
Arkansas,Ouachita,5351,4321
Arkansas,Johnson,6091,2427
Arkansas,Columbia,5456,3140
Arkansas,Clark,4404,3620
Arkansas,Polk,6618,1212
Arkansas,Ashley,5338,2408
Arkansas,Conway,4849,2656
Arkansas,Logan,5746,1715
Arkansas,Poinsett,5502,1880
Arkansas,Grant,5725,1373
Arkansas,Saint Francis,3195,4031
Arkansas,Van Buren,5382,1549
Arkansas,Sharp,5407,1472
Arkansas,Marion,5336,1434
Arkansas,Hempstead,4401,2377
Arkansas,Phillips,2446,4310
Arkansas,Cross,4584,1999
Arkansas,Madison,4928,1588
Arkansas,Franklin,5039,1376
Arkansas,Drew,3968,2365
Arkansas,Yell,4608,1480
Arkansas,Randolph,4509,1425
Arkansas,Arkansas,3826,1939
Arkansas,Lawrence,4064,1263
Arkansas,Stone,4113,1203
Arkansas,Izard,4042,1113
Arkansas,Little River,3605,1397
Arkansas,Clay,3781,1199
Arkansas,Jackson,3267,1583
Arkansas,Fulton,3471,1067
Arkansas,Howard,3157,1351
Arkansas,Sevier,3282,1075
Arkansas,Perry,3008,1049
Arkansas,Desha,1919,2228
Arkansas,Chicot,1716,2350
Arkansas,Pike,3150,685
Arkansas,Lincoln,2455,1252
Arkansas,Newton,2875,699
Arkansas,Searcy,2955,601
Arkansas,Bradley,2164,1317
Arkansas,Montgomery,2643,748
Arkansas,Scott,2731,602
Arkansas,Prairie,2505,814
Arkansas,Cleveland,2462,723
Arkansas,Nevada,2000,1157
Arkansas,Lee,1229,1735
Arkansas,Monroe,1489,1312
Arkansas,Lafayette,1758,1032
Arkansas,Dallas,1509,1165
Arkansas,Woodruff,1347,1118
Arkansas,Calhoun,1556,639
California,Los Angeles,769743,2464364
California,San Diego,477766,735476
California,Orange,507148,609961
California,Riverside,333243,373695
California,Santa Clara,144826,511684
California,Alameda,95922,514842
California,San Bernardino,271240,340833
California,Sacramento,189789,326023
California,Contra Costa,115956,319287
California,San Francisco,37688,345084
California,Ventura,132323,194402
California,San Mateo,57929,237882
California,Fresno,124049,141341
California,Kern,129584,98689
California,Sonoma,51408,160435
California,San Joaquin,88936,121124
California,Placer,95138,73509
California,Santa Barbara,56365,107142
California,Stanislaus,78494,81647
California,Solano,51920,102360
California,Marin,21771,108707
California,San Luis Obispo,56164,67107
California,Monterey,34895,89088
California,Santa Cruz,22438,95249
California,Tulare,58299,47585
California,Butte,45144,41567
California,El Dorado,49247,36404
California,Yolo,20739,54752
California,Shasta,51778,22301
California,Merced,28725,37317
California,Napa,17411,39199
California,Humboldt,18373,33200
California,Nevada,23365,26053
California,Imperial,12704,32667
California,Madera,23357,17029
California,Mendocino,10888,22079
California,Kings,18093,13617
California,Sutter,18176,13076
California,Tuolumne,14551,9123
California,Lake,10599,11496
California,Tehama,15494,6809
California,Calaveras,13511,7944
California,Yuba,13170,7910
California,San Benito,7841,12521
California,Siskiyou,11341,7234
California,Amador,10485,6004
California,Lassen,7574,2224
California,Plumas,5420,3459
California,Del Norte,5134,3485
California,Glenn,5788,3065
California,Mariposa,5185,3122
California,Inyo,4248,3155
California,Colusa,3551,2661
California,Trinity,2812,2214
California,Mono,2111,2773
California,Modoc,2696,877
California,Sierra,1048,601
California,Alpine,217,334
Colorado,Denver,62690,244551
Colorado,Jefferson,138177,160776
Colorado,El Paso,179228,108010
Colorado,Arapahoe,117053,159885
Colorado,Larimer,83430,93113
Colorado,Adams,80082,96558
Colorado,Boulder,41396,132334
Colorado,Douglas,102573,68657
Colorado,Weld,76651,46519
Colorado,Pueblo,36265,35875
Colorado,Mesa,49779,21729
Colorado,Broomfield,14367,19731
Colorado,La Plata,12587,15525
Colorado,Garfield,13132,11271
Colorado,Eagle,8990,14099
Colorado,Fremont,15122,5297
Colorado,Montrose,14382,5466
Colorado,Delta,11655,4087
Colorado,Summit,5100,9557
Colorado,Elbert,11705,3134
Colorado,Teller,9745,3603
Colorado,Routt,5230,7600
Colorado,Montezuma,7853,3973
Colorado,Morgan,8145,3151
Colorado,Chaffee,5391,4888
Colorado,Pitkin,2550,7333
Colorado,Park,6135,3421
Colorado,Logan,7282,1851
Colorado,Gunnison,3289,5128
Colorado,Grand,4494,3358
Colorado,Otero,4928,2943
Colorado,Archuleta,4264,2500
Colorado,Alamosa,3046,3189
Colorado,Las Animas,3710,2650
Colorado,Moffat,5305,874
Colorado,Clear Creek,2575,2729
Colorado,Rio Grande,3085,2001
Colorado,Prowers,3531,1186
Colorado,Yuma,3850,726
Colorado,San Miguel,1033,2975
Colorado,Conejos,1914,1771
Colorado,Huerfano,1883,1633
Colorado,Kit Carson,2967,536
Colorado,Gilpin,1566,1634
Colorado,Rio Blanco,2791,436
Colorado,Ouray,1351,1697
Colorado,Lake,1270,1616
Colorado,Custer,2061,797
Colorado,Saguache,1147,1417
Colorado,Washington,2299,296
Colorado,Lincoln,1892,409
Colorado,Phillips,1791,436
Colorado,Baca,1753,283
Colorado,Bent,1188,590
Colorado,Costilla,588,1125
Colorado,Crowley,1079,339
Colorado,Sedgwick,1015,267
Colorado,Dolores,944,242
Colorado,Cheyenne,925,132
Colorado,Jackson,629,171
Colorado,Kiowa,728,91
Colorado,Mineral,344,237
Colorado,Hinsdale,339,197
Colorado,San Juan,215,265
Connecticut,Fairfield,155457,238723
Connecticut,Hartford,147912,233789
Connecticut,Litchfield,53376,39836
Connecticut,Middlesex,38847,45306
Connecticut,New Haven,158373,203601
Connecticut,New London,54574,62951
Connecticut,Tolland Conty,33989,38450
Connecticut,Windham,25738,21776
Delaware,New Castle,85525,162919
Delaware,Sussex,62611,39333
Delaware,Kent,36991,33351
District of Columbia,Washington,12723,282830
Florida,Miami-Dade,333999,624146
Florida,Broward,260951,553320
Florida,Palm Beach,272402,374673
Florida,Hillsborough,266870,307896
Florida,Orange,195216,329894
Florida,Pinellas,239201,233701
Florida,Duval,211672,205704
Florida,Lee,191551,124908
Florida,Brevard,181848,119679
Florida,Polk,157430,117433
Florida,Volusia,143007,109091
Florida,Pasco,142101,90142
Florida,Sarasota,124438,97870
Florida,Seminole,109443,105914
Florida,Manatee,101944,71224
Florida,Marion,107833,62041
Florida,Collier,105423,61085
Florida,Lake,102188,62838
Florida,Escambia,88808,57461
Florida,Leon,53821,92068
Florida,St. Lucie,70289,66881
Florida,Osceola,50301,85458
Florida,St. Johns,88684,43099
Florida,Alachua,46834,75820
Florida,Clay,74963,27822
Florida,Okaloosa,71893,23780
Florida,Charlotte,60218,33445
Florida,Hernando,58970,31795
Florida,Santa Rosa,65339,18464
Florida,Bay,62194,21797
Florida,Martin,53204,30185
Florida,Indian River,48620,29043
Florida,Citrus,54456,22789
Florida,Sumter,52730,22638
Florida,Flagler,33850,22026
Florida,Nassau,34266,10869
Florida,Highlands,29565,14937
Florida,Monroe,21904,18971
Florida,Walton,25756,6876
Florida,Putnam,22138,10094
Florida,Columbia,20368,7601
Florida,Gadsden,6728,15020
Florida,Jackson,14257,6397
Florida,Levy,13775,5101
Florida,Suwannee,14287,3964
Florida,Wakulla,10512,4348
Florida,Okeechobee,9356,3959
Florida,Baker,10294,2112
Florida,Bradford,8913,2924
Florida,Washington,8637,2264
Florida,Hendry,6195,4615
Florida,DeSoto,6778,3781
Florida,Taylor,6930,2152
Florida,Holmes,7483,853
Florida,Madison,4851,3526
Florida,Gilchrist,6740,1458
Florida,Jefferson,3930,3541
Florida,Hardee,5242,2149
Florida,Gulf,5329,1720
Florida,Dixie,5822,1270
Florida,Calhoun,4655,1241
Florida,Franklin,4125,1744
Florida,Union,4568,1014
Florida,Hamilton,3443,1904
Florida,Glades,2996,1271
Florida,Lafayette,2809,518
Florida,Liberty,2543,651
Georgia,Fulton,117783,297051
Georgia,Cobb,152912,160121
Georgia,Gwinnett,146989,166153
Georgia,DeKalb,51468,251370
Georgia,Chatham,45688,62290
Georgia,Cherokee,80649,25231
Georgia,Henry,45724,50057
Georgia,Forsyth,69851,23462
Georgia,Clayton,12645,78220
Georgia,Richmond,24461,48814
Georgia,Hall,51733,16180
Georgia,Muscogee,26976,39851
Georgia,Paulding,44662,18025
Georgia,Columbia,43085,18887
Georgia,Bibb,24043,36787
Georgia,Coweta,42533,16583
Georgia,Fayette,35048,23284
Georgia,Houston,35430,22553
Georgia,Douglas,24817,31005
Georgia,Clarke,12717,29603
Georgia,Carroll,30029,12464
Georgia,Newton,20913,21943
Georgia,Walton,31125,8292
Georgia,Bartow,29911,8212
Georgia,Rockdale,13478,23255
Georgia,Lowndes,21635,15064
Georgia,Floyd,24114,9159
Georgia,Glynn,21512,11775
Georgia,Dougherty,10232,23311
Georgia,Whitfield,21537,7937
Georgia,Barrow,21108,6580
Georgia,Jackson,21784,4491
Georgia,Catoosa,20876,4771
Georgia,Troup,15750,9713
Georgia,Spalding,15646,9357
Georgia,Bulloch,15097,9261
Georgia,Walker,18950,4215
Georgia,Effingham,17874,4853
Georgia,Oconee,13425,5581
Georgia,Laurens,12411,6752
Georgia,Camden,12310,5930
Georgia,Gordon,15191,3181
Georgia,Thomas,11228,7142
Georgia,Harris,11936,4086
Georgia,Habersham,13190,2483
Georgia,Liberty,6134,9556
Georgia,Baldwin,7697,7970
Georgia,Bryan,10529,4014
Georgia,Tift,9584,4347
Georgia,Polk,11014,2867
Georgia,Lee,10646,3170
Georgia,Pickens,11651,1979
Georgia,Coffee,9588,4094
Georgia,Colquitt,9898,3463
Georgia,Gilmer,10477,1965
Georgia,Monroe,8832,3571
Georgia,Jones,8305,3961
Georgia,Lumpkin,9619,2220
Georgia,Murray,10341,1800
Georgia,Ware,8513,3440
Georgia,Madison,9201,2425
Georgia,Union,9852,1963
Georgia,White,9761,1674
Georgia,Fannin,9632,1923
Georgia,Dawson,9900,1448
Georgia,Haralson,9585,1475
Georgia,Sumter,5276,5520
Georgia,Upson,7292,3475
Georgia,Peach,5413,5100
Georgia,Wayne,8153,2041
Georgia,Decatur,6020,4124
Georgia,Hart,7286,2585
Georgia,Stephens,7686,1837
Georgia,Butts,6717,2566
Georgia,Putnam,6544,2758
Georgia,Morgan,6559,2663
Georgia,Burke,4491,4731
Georgia,McDuffie,5432,3699
Georgia,Meriwether,5222,3804
Georgia,Grady,6053,3013
Georgia,Toombs,6615,2338
Georgia,Greene,5490,3199
Georgia,Pike,7278,1240
Georgia,Franklin,7054,1243
Georgia,Washington,4149,4200
Georgia,Worth,6152,2020
Georgia,Chattooga,6462,1613
Georgia,Rabun,6287,1444
Georgia,Elbert,5292,2539
Georgia,Mitchell,4279,3493
Georgia,Emanuel,5335,2435
Georgia,Lamar,5190,2270
Georgia,Crisp,4549,2837
Georgia,Pierce,6302,903
Georgia,Appling,5494,1434
Georgia,Dodge,5021,1839
Georgia,Banks,6134,684
Georgia,Jefferson,3063,3821
Georgia,Tattnall,5096,1681
Georgia,Towns,5383,1210
Georgia,Oglethorpe,4625,1831
Georgia,Berrien,5422,1047
Georgia,Brooks,3701,2528
Georgia,Brantley,5567,619
Georgia,Dade,5051,965
Georgia,Cook,4176,1753
Georgia,Jasper,4360,1544
Georgia,Ben Hill,3739,2101
Georgia,McIntosh,3487,2303
Georgia,Screven,3305,2300
Georgia,Crawford,3635,1421
Georgia,Jeff Davis,4104,901
Georgia,Bleckley,3719,1101
Georgia,Early,2552,2168
Georgia,Wilkes,2572,1848
Georgia,Macon,1540,2705
Georgia,Wilkinson,2333,1894
Georgia,Heard,3370,743
Georgia,Terrell,1874,2267
Georgia,Long,2626,1360
Georgia,Lincoln,2759,1273
Georgia,Twiggs,2035,1971
Georgia,Bacon,3364,608
Georgia,Charlton,2951,1004
Georgia,Dooly,1951,1872
Georgia,Telfair,2450,1313
Georgia,Candler,2664,1026
Georgia,Johnson,2519,1136
Georgia,Irwin,2716,891
Georgia,Evans,2404,1130
Georgia,Pulaski,2437,1104
Georgia,Seminole,2345,1189
Georgia,Hancock,843,2701
Georgia,Montgomery,2670,847
Georgia,Taylor,2064,1296
Georgia,Turner,2095,1246
Georgia,Talbot,1196,2002
Georgia,Marion,1921,1213
Georgia,Jenkins,1895,1123
Georgia,Wilcox,2096,852
Georgia,Randolph,1271,1598
Georgia,Lanier,1984,806
Georgia,Treutlen,1809,862
Georgia,Atkinson,1878,697
Georgia,Miller,1891,623
Georgia,Clinch,1727,686
Georgia,Warren,991,1314
Georgia,Wheeler,1421,646
Georgia,Stewart,805,1222
Georgia,Calhoun,830,1179
Georgia,Schley,1472,401
Georgia,Baker,775,650
Georgia,Chattahoochee,751,594
Georgia,Glascock,1235,138
Georgia,Clay,566,697
Georgia,Echols,1007,156
Georgia,Webster,630,473
Georgia,Quitman,575,461
Georgia,Taliaferro,349,545
Hawaii,Honolulu,90326,175696
Hawaii,Hawaii,17501,41259
Hawaii,Maui,13446,33480
Hawaii,Kauai,7574,16456
Idaho,Ada,93752,75677
Idaho,Canyon,47222,16883
Idaho,Kootenai,44449,16264
Idaho,Bonneville,26699,8930
Idaho,Bannock,17180,10342
Idaho,Twin Falls,19828,6233
Idaho,Bonner,13343,5819
Idaho,Latah,7265,8093
Idaho,Nez Perce,10699,4828
Idaho,Bingham,10907,2924
Idaho,Madison,8941,1201
Idaho,Jefferson,8436,976
Idaho,Blaine,3340,6416
Idaho,Payette,6489,1507
Idaho,Elmore,5816,1814
Idaho,Idaho County,6441,1196
Idaho,Cassia,5949,1036
Idaho,Gem,5980,1229
Idaho,Minidoka,4887,1167
Idaho,Jerome,4644,1329
Idaho,Fremont,4090,651
Idaho,Franklin,3901,385
Idaho,Valley,2906,1913
Idaho,Gooding,3743,930
Idaho,Boundary,3789,933
Idaho,Shoshone,3297,1384
Idaho,Teton,2167,2159
Idaho,Washington,3283,776
Idaho,Benewah,3103,770
Idaho,Lemhi,3011,733
Idaho,Owyhee,3052,591
Idaho,Boise,2673,777
Idaho,Clearwater,2852,704
Idaho,Caribou,2275,271
Idaho,Bear Lake,2203,255
Idaho,Power,1666,699
Idaho,Custer,1777,427
Idaho,Adams,1556,415
Idaho,Oneida,1531,184
Idaho,Lincoln,1184,360
Idaho,Lewis,1202,270
Idaho,Butte,914,160
Idaho,Camas,410,110
Idaho,Clark,203,44
Illinois,Cook,453287,1611946
Illinois,DuPage,166415,228622
Illinois,Will,132720,151927
Illinois,Lake,109767,171095
Illinois,Kane,82734,103665
Illinois,McHenry,71612,60803
Illinois,Madison,70490,50587
Illinois,St. Clair,53857,60756
Illinois,Winnebago,55624,55713
Illinois,Sangamon,49944,40907
Illinois,Champaign,33368,50137
Illinois,McLean,37237,36196
Illinois,Peoria,35633,38060
Illinois,Tazewell,38707,20685
Illinois,Rock Island,26998,32298
Illinois,Kendall,24961,24884
Illinois,LaSalle,26689,19543
Illinois,Macon,26866,18343
Illinois,Kankakee,25129,18971
Illinois,DeKalb,19091,20466
Illinois,Adams,22790,7676
Illinois,Williamson,21570,8581
Illinois,Vermilion,19087,10039
Illinois,Whiteside,12615,11035
Illinois,Jackson,10843,11634
Illinois,Henry,13985,8871
Illinois,Ogle,14352,8050
Illinois,Grundy,13454,8065
Illinois,Boone,12282,8986
Illinois,Knox,10737,10083
Illinois,Macoupin,14322,6689
Illinois,Coles,13003,7309
Illinois,Stephenson,11083,7768
Illinois,Woodford,13207,5092
Illinois,Monroe,12629,5535
Illinois,Franklin,13116,4727
Illinois,Effingham,13635,3083
Illinois,Clinton,12412,3945
Illinois,Marion,11859,4369
Illinois,Jefferson,11695,4425
Illinois,Bureau,9281,6029
Illinois,Fulton,8492,6133
Illinois,Lee,8612,5528
Illinois,Christian,10543,3992
Illinois,Livingston,10208,4023
Illinois,Morgan,9076,4696
Illinois,Randolph,10023,3439
Illinois,McDonough,6795,5288
Illinois,Iroquois,9750,2504
Illinois,Montgomery,8630,3504
Illinois,Logan,8181,3313
Illinois,Saline,8276,2572
Illinois,JoDaviess,6121,4462
Illinois,Shelby,8229,2288
Illinois,Jersey,7748,2679
Illinois,Perry,6855,2462
Illinois,Fayette,7372,1819
Illinois,Hancock,6430,2139
Illinois,Piatt,5634,2645
Illinois,Crawford,6277,1992
Illinois,Union,5790,2402
Illinois,Mercer,4807,3071
Illinois,Wayne,6967,1048
Illinois,Douglas,5698,1949
Illinois,Clark,5622,1877
Illinois,Edgar,5645,1793
Illinois,Warren,4275,2987
Illinois,Richland,5739,1584
Illinois,Bond,4888,2068
Illinois,DeWitt,5077,1910
Illinois,Pike,5754,1413
Illinois,Carroll,4434,2447
Illinois,Washington,5571,1448
Illinois,White,5640,1412
Illinois,Massac,4846,1558
Illinois,Menard,4231,1817
Illinois,Mason,4058,2014
Illinois,Ford,4480,1414
Illinois,Clay,5021,1020
Illinois,Moultrie,4455,1481
Illinois,Johnson,4649,1142
Illinois,Lawrence,4521,1290
Illinois,Marshall,3785,1789
Illinois,Greene,4145,1205
Illinois,Cumberland,4206,1031
Illinois,Wabash,4047,1151
Illinois,Cass,3216,1621
Illinois,Jasper,3975,924
Illinois,Hamilton,3206,802
Illinois,Schuyler,2524,1075
Illinois,Henderson,2155,1155
Illinois,Edwards,2778,434
Illinois,Putnam,1767,1147
Illinois,Alexander,1496,1262
Illinois,Pulaski,1675,962
Illinois,Stark,1778,751
Illinois,Gallatin,1942,657
Illinois,Scott,1966,535
Illinois,Calhoun,1721,739
Illinois,Brown,1796,476
Illinois,Hardin,1653,420
Illinois,Pope,1678,375
Indiana,Marion,130360,212899
Indiana,Lake,75625,116935
Indiana,Hamilton,87404,57263
Indiana,Allen,83930,55382
Indiana,St. Joseph,52021,52252
Indiana,Porter,38832,33676
Indiana,Hendricks,48337,22600
Indiana,Vanderburgh,40496,28530
Indiana,Johnson,45456,17318
Indiana,Elkhart,41867,20740
Indiana,Tippecanoe,30768,27282
Indiana,Monroe,20592,34216
Indiana,Madison,32376,18595
Indiana,Clark,30035,18808
Indiana,LaPorte,22687,19798
Indiana,Delaware,24263,18153
Indiana,Vigo,21937,15931
Indiana,Floyd,21432,13945
Indiana,Howard,23675,11215
Indiana,Hancock,25074,8904
Indiana,Bartholomew,20640,9841
Indiana,Boone,19654,10181
Indiana,Kosciusko,23935,6313
Indiana,Morgan,23674,6040
Indiana,Warrick,19113,9086
Indiana,Wayne,16028,8322
Indiana,Grant,17008,7010
Indiana,Dearborn,18113,4883
Indiana,Henry,13895,5124
Indiana,Dubois,13365,5389
Indiana,Lawrence,14035,4210
Indiana,Harrison,12943,4783
Indiana,Marshall,12288,4798
Indiana,Shelby,12718,4247
Indiana,Jackson,12859,3843
Indiana,Noble,12198,3904
Indiana,DeKalb,12054,3942
Indiana,Huntington,11649,3506
Indiana,Whitley,11358,3379
Indiana,Knox,11077,3772
Indiana,Gibson,11081,3721
Indiana,Montgomery,11059,3362
Indiana,Putnam,10637,3356
Indiana,Steuben,10133,3744
Indiana,Cass,9701,3759
Indiana,Greene,10277,2929
Indiana,Jefferson,8546,4326
Indiana,Wabash,9821,3018
Indiana,Miami,9975,2766
Indiana,Jasper,9382,3329
Indiana,Wells,10005,2586
Indiana,Adams,9648,2805
Indiana,Ripley,9806,2471
Indiana,Posey,8404,3521
Indiana,Clinton,8531,2819
Indiana,Washington,8209,2636
Indiana,Clay,8531,2306
Indiana,Decatur,8490,2121
Indiana,Jennings,8224,2364
Indiana,Franklin,8669,1969
Indiana,Daviess,8545,1800
Indiana,Randolph,7517,2446
Indiana,White,6893,2590
Indiana,Spencer,6572,2861
Indiana,LaGrange,7025,2080
Indiana,Fayette,6839,2252
Indiana,Starke,6367,2489
Indiana,Scott,6074,2642
Indiana,Carroll,6273,1892
Indiana,Sullivan,6138,2113
Indiana,Owen,6153,1946
Indiana,Fulton,6010,1960
Indiana,Orange,5803,2048
Indiana,Perry,4556,3062
Indiana,Jay,5697,1889
Indiana,Brown,5016,2518
Indiana,Fountain,5662,1476
Indiana,Tipton,5589,1587
Indiana,Rush,5292,1525
Indiana,Vermillion,4513,2081
Indiana,Parke,4863,1441
Indiana,Pike,4398,1297
Indiana,Newton,4077,1404
Indiana,Pulaski,3854,1327
Indiana,Blackford,3350,1243
Indiana,Martin,3697,881
Indiana,Crawford,3015,1323
Indiana,Warren,2898,839
Indiana,Switzerland,2558,930
Indiana,Benton,2579,860
Indiana,Union,2445,715
Indiana,Ohio,2118,686
Iowa,Polk,93492,119804
Iowa,Linn,48390,58935
Iowa,Scott,39149,40440
Iowa,Johnson,21044,50200
Iowa,Black Hawk,27476,32233
Iowa,Story,19458,25709
Iowa,Dubuque,23460,22850
Iowa,Woodbury,24727,16210
Iowa,Pottawattamie,24447,15355
Iowa,Dallas,19339,15701
Iowa,Warren,14814,10411
Iowa,Clinton,11276,10095
Iowa,Cerro Gordo,11621,9862
Iowa,Muscatine,9584,8368
Iowa,Des Moines,9529,8212
Iowa,Jasper,10560,7109
Iowa,Sioux,14785,2300
Iowa,Marshall,9146,7652
Iowa,Marion,10962,5482
Iowa,Webster,10056,6305
Iowa,Lee,8803,6215
Iowa,Wapello,8715,5594
Iowa,Boone,7484,5541
Iowa,Benton,8232,4678
Iowa,Bremer,7208,5356
Iowa,Plymouth,9680,2885
Iowa,Winneshiek,5344,5254
Iowa,Washington,6173,3943
Iowa,Mahaska,7432,2619
Iowa,Carroll,6638,3309
Iowa,Henry,5779,2904
Iowa,Dickinson,6753,3056
Iowa,Jackson,5824,3837
Iowa,Buchanan,5510,3970
Iowa,Jones,5720,3787
Iowa,Fayette,5620,3689
Iowa,Poweshiek,4946,4304
